LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND
11;1;1100207;2021;11;19;2;3;2;6;1;0;1;0;0;0;0;1
11;11;11400930;2021;12;18;1;3;5;2;2;0;1;0;0;0;0;1
11;8;8401241;2021;12;19;4;3;5;3;2;0;1;0;0;0;1;1
11;11;11400929;2021;12;8;6;2;2;2;1;1;0;0;0;0;1;1
11;11;11300722;2021;12;16;2;3;6;4;2;0;1;1;0;0;0;1
11;1;1100308;2021;12;14;6;3;2;6;0;1;1;0;0;0;0;0
11;11;11300620;2021;12;18;6;3;6;2;2;0;1;1;0;0;0;1
11;2;2200210;2021;12;1;7;3;5;3;2;0;1;0;0;0;0;1
11;1;1300732;2021;12;22;7;3;2;6;2;0;1;0;0;0;1;0
11;11;11300722;2021;11;9;3;3;5;7;0;0;1;0;0;0;1;1
11;11;11400928;2021;12;16;2;3;6;7;2;1;0;1;0;0;0;0
11;1;1200623;2021;12;9;1;3;6;4;0;0;0;1;0;0;1;2
11;11;11300721;2021;11;7;3;2;3;6;2;0;0;0;1;0;1;1
11;10;10300733;2021;12;10;3;3;2;7;0;0;0;0;0;0;1;0
11;3;3200308;2021;12;12;1;2;0;7;0;0;1;0;0;0;0;1
11;1;1400938;2021;12;20;5;3;8;1;2;0;1;0;0;0;0;2
11;12;12601133;2021;12;17;6;3;0;4;2;0;0;1;0;0;1;1
11;3;3601245;2021;12;16;6;3;5;2;1;1;1;0;0;0;0;0
11;9;9501939;2021;12;13;7;3;6;4;0;0;1;1;0;0;0;0
11;4;4100102;2021;12;18;4;2;5;2;2;0;1;0;0;0;0;0
11;4;4200310;2021;12;14;2;3;6;7;0;0;1;1;0;0;0;0
11;1;1100101;2021;12;12;4;3;5;2;0;1;1;0;0;0;0;1
11;5;5100316;2021;12;11;7;3;2;6;0;0;1;0;0;0;0;1
11;1;1200522;2021;12;14;5;3;5;3;0;0;0;0;0;0;1;2
11;2;2300314;2021;12;5;2;2;6;4;2;0;1;1;0;0;0;1
11;1;1100102;2021;12;16;3;3;2;6;1;0;1;0;0;0;1;1
11;2;2500831;2021;12;19;4;3;5;3;2;1;1;0;0;0;0;1
11;6;6200316;2021;12;16;2;3;2;6;1;0;1;0;0;0;0;1
