LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LOCKDOWN;COVID
11;9;9100407.0;2021;12;7;5;3;1;5;1;0;1;0;0;0;1;1;1;2
11;1;1300835.0;2021;12;15;5;3;0;2;0;1;0;0;0;0;1;0;1;2
11;10;10100103.0;2021;12;8;6;3;5;3;0;0;1;0;0;0;0;2;1;2
11;1;1100310.0;2021;12;19;3;3;5;2;2;0;1;0;0;0;0;0;1;2
11;11;11300620.0;2021;12;8;5;3;5;7;1;0;1;0;0;0;1;0;1;2
11;8;8100521.0;2021;12;6;2;3;5;2;2;0;1;0;0;0;0;1;1;2
11;2;2100101.0;2021;12;9;4;3;6;2;0;0;1;1;0;0;0;0;1;2
11;9;9100306.0;2021;12;14;2;3;2;6;0;0;1;0;0;0;1;1;1;2
11;6;6300528.0;2021;12;14;5;3;6;4;0;0;1;1;0;0;0;0;1;2
11;12;12200412.0;2021;12;11;7;3;6;2;0;0;1;1;0;0;0;0;1;2
11;1;1100207.0;2021;11;19;2;3;2;6;1;0;1;0;0;0;0;1;0;2
11;11;11400930.0;2021;12;18;1;3;5;2;2;0;1;0;0;0;0;1;1;2
11;8;8401241.0;2021;12;19;4;3;5;3;2;0;1;0;0;0;1;1;1;2
11;11;11400929.0;2021;12;8;6;2;2;2;1;1;0;0;0;0;1;1;1;2
11;11;11300722.0;2021;12;16;2;3;6;4;2;0;1;1;0;0;0;1;1;2
11;1;1100308.0;2021;12;14;6;3;2;6;0;1;1;0;0;0;0;0;1;2
11;11;11300620.0;2021;12;18;6;3;6;2;2;0;1;1;0;0;0;1;1;2
11;2;2200210.0;2021;12;1;7;3;5;3;2;0;1;0;0;0;0;1;1;2
11;1;1300732.0;2021;12;22;7;3;2;6;2;0;1;0;0;0;1;0;1;2
11;11;11300722.0;2021;11;9;3;3;5;7;0;0;1;0;0;0;1;1;0;2
11;11;11400928.0;2021;12;16;2;3;6;7;2;1;0;1;0;0;0;0;1;2
11;1;1200623.0;2021;12;9;1;3;6;4;0;0;0;1;0;0;1;2;1;2
11;11;11300721.0;2021;11;7;3;2;3;6;2;0;0;0;1;0;1;1;0;2
11;10;10300733.0;2021;12;10;3;3;2;7;0;0;0;0;0;0;1;0;1;2
11;3;3200308.0;2021;12;12;1;2;0;7;0;0;1;0;0;0;0;1;1;2
11;1;1400938.0;2021;12;20;5;3;8;1;2;0;1;0;0;0;0;2;1;2
11;12;12601133.0;2021;12;17;6;3;0;4;2;0;0;1;0;0;1;1;1;2
11;3;3601245.0;2021;12;16;6;3;5;2;1;1;1;0;0;0;0;0;1;2
11;9;9501939.0;2021;12;13;7;3;6;4;0;0;1;1;0;0;0;0;1;2
11;4;4100102.0;2021;12;18;4;2;5;2;2;0;1;0;0;0;0;0;1;2
11;4;4200310.0;2021;12;14;2;3;6;7;0;0;1;1;0;0;0;0;1;2
11;1;1100101.0;2021;12;12;4;3;5;2;0;1;1;0;0;0;0;1;1;2
11;5;5100316.0;2021;12;11;7;3;2;6;0;0;1;0;0;0;0;1;1;2
11;1;1200522.0;2021;12;14;5;3;5;3;0;0;0;0;0;0;1;2;1;2
11;2;2300314.0;2021;12;5;2;2;6;4;2;0;1;1;0;0;0;1;1;2
11;1;1100102.0;2021;12;16;3;3;2;6;1;0;1;0;0;0;1;1;1;2
11;2;2500831.0;2021;12;19;4;3;5;3;2;1;1;0;0;0;0;1;1;2
11;6;6200316.0;2021;12;16;2;3;2;6;1;0;1;0;0;0;0;1;1;2
11;2;2200208.0;2021;12;14;5;3;1;5;0;1;1;0;0;0;0;0;1;2
11;2;2200212.0;2021;12;7;5;3;5;2;1;1;1;0;0;0;0;1;1;2
11;2;2400521.0;2021;12;22;7;3;2;2;2;0;1;0;0;0;0;1;1;2
11;7;7200413.0;2021;12;13;3;3;2;6;0;1;1;0;0;0;0;2;1;2
11;8;8401243.0;2021;12;17;4;3;5;3;1;0;1;0;0;0;1;1;1;2
11;1;1100103.0;2021;12;14;7;3;2;6;0;1;1;0;0;0;0;1;1;2
11;11;11100308.0;2021;12;19;6;3;0;1;2;0;0;0;1;0;0;1;1;2
11;4;4501148.0;2021;12;15;7;3;5;2;1;0;1;0;0;0;0;1;1;2
11;1;1400939.0;2021;12;16;6;2;6;4;1;0;1;1;0;0;0;0;1;2
11;3;3601450.0;2021;11;17;2;2;2;1;1;0;1;0;0;0;0;1;0;2
11;10;10400940.0;2021;12;11;2;3;2;6;0;0;1;0;0;0;1;0;1;2
11;1;1100103.0;2021;12;17;3;3;1;5;2;1;1;0;0;0;0;0;1;2
11;9;9502043.0;2021;12;23;1;3;1;5;2;0;1;0;0;0;0;1;1;2
11;4;4501146.0;2021;12;16;7;3;5;2;1;0;1;0;0;0;0;0;1;2
11;6;6100205.0;2021;12;18;3;3;5;2;2;0;1;0;0;0;1;1;1;2
11;10;10100311.0;2021;12;9;5;2;4;1;0;0;1;0;0;1;0;2;1;2
11;11;11400931.0;2021;12;14;5;3;5;3;0;0;1;0;0;0;0;1;1;2
11;3;3601245.0;2021;12;8;2;3;6;2;0;0;1;1;0;0;0;0;1;2
11;9;9100304.0;2021;12;21;1;3;5;2;2;1;1;0;0;0;0;0;1;2
11;1;1401046.0;2021;11;7;3;3;6;2;0;0;1;1;0;0;0;1;0;2
11;2;2400521.0;2021;12;17;2;3;0;2;2;1;0;0;0;0;1;0;1;2
11;11;11400927.0;2021;12;16;5;3;5;3;1;1;1;0;0;0;0;0;1;2
11;1;1300732.0;2021;12;19;7;3;6;2;2;0;1;1;0;0;0;0;1;2
11;9;9100306.0;2021;12;18;3;3;2;6;2;0;1;0;0;0;0;1;1;2
11;1;1100416.0;2021;12;23;4;2;3;6;2;0;1;0;0;0;0;1;1;2
11;3;3200204.0;2021;12;18;4;3;5;2;2;0;1;0;0;0;0;0;1;2
11;12;12601235.0;2021;12;21;5;3;6;2;2;0;1;1;0;0;0;0;1;2
11;8;8100310.0;2021;12;10;6;3;6;4;0;0;1;1;0;0;0;0;1;2
11;2;2500727.0;2021;12;13;5;3;5;3;0;1;1;0;0;0;0;0;1;2
11;4;4501045.0;2021;12;16;5;3;6;4;2;0;1;1;0;0;0;2;1;2
11;1;1100206.0;2021;12;14;1;3;2;7;0;1;1;0;0;0;0;0;1;2
11;4;4501153.0;2021;12;20;4;2;6;2;2;0;1;1;0;0;0;1;1;2
11;10;10200629.0;2021;12;15;5;3;6;4;0;0;1;1;0;0;0;0;1;2
11;8;8401242.0;2021;12;10;3;3;6;2;0;0;1;1;0;0;0;0;1;2
11;1;1200522.0;2021;12;7;5;2;6;4;1;0;0;1;0;0;1;0;1;2
11;3;3601348.0;2021;12;19;5;3;1;5;2;1;1;0;0;0;0;1;1;2
11;1;1300836.0;2021;12;17;7;3;5;2;1;0;1;0;0;0;0;0;1;2
11;2;2500728.0;2021;12;21;3;3;5;2;2;0;1;0;1;0;0;0;1;2
11;6;6300527.0;2021;12;19;4;3;6;2;2;0;1;1;0;0;0;1;1;2
11;4;4400833.0;2021;12;16;6;3;5;3;2;0;1;0;0;0;0;1;1;2
11;10;10100208.0;2021;12;13;6;3;5;3;0;1;1;0;0;0;0;0;1;2
11;2;2300316.0;2021;11;14;2;3;2;6;0;0;1;0;0;0;0;0;0;2
11;9;9300920.0;2021;12;23;7;3;0;4;2;0;0;1;0;0;1;1;1;2
11;6;6200311.0;2021;12;17;4;3;2;6;2;0;1;0;0;0;0;0;1;2
11;4;4501149.0;2021;12;16;2;3;5;2;2;1;1;0;0;0;0;1;1;2
11;4;4500939.0;2021;12;7;3;3;5;7;2;0;1;0;1;0;0;1;1;2
